metro_area,total,with_internet_subscription,dial_up_with_no_other_internet_subscription,broadband_of_any_type,cellular_data_plan,cellular_data_plan_only,broadband_cable_fiber_or_dsl,broadband_cable_fiber_or_dsl_only,satellite_internet_service,satellite_internet_service_only,other_service_only,internet_access_without_subscription,no_internet_access,metro_area_id,year
"Sherman-Denison, TX Metro Area",48454,36943,256,36687,30193,7484,25048,4964,5117,894,170,2494,9017,43300,2019
"Show Low, AZ Micro Area",34990,22099,227,21872,15794,3587,16328,4900,2435,774,88,845,12046,43320,2019
"Shreveport-Bossier City, LA Metro Area",156062,107810,743,107067,82017,19262,80785,21474,12283,1882,96,11935,36317,43340,2019
"Sidney, OH Micro Area",18608,15282,95,15187,11356,1749,12145,3360,1346,262,49,419,2907,43380,2019
"Sierra Vista-Douglas, AZ Metro Area",50163,40317,245,40072,30712,4410,30897,6629,6509,1464,224,1102,8744,43420,2019
"Sikeston, MO Micro Area",15230,11767,4,11763,9248,2213,8667,2069,1048,301,77,382,3081,43460,2019
"Silver City, NM Micro Area",11851,8414,52,8362,6269,1489,5909,1680,1137,288,32,479,2958,43500,2019
"Sioux City, IA-NE-SD Metro Area",55391,43807,326,43481,33435,6124,34930,9072,3833,524,72,2236,9348,43580,2019
"Sioux Falls, SD Metro Area",102294,88311,394,87917,71429,9931,74431,14768,5418,742,131,2705,11278,43620,2019
"Snyder, TX Micro Area",5941,4399,32,4367,3551,594,3110,609,859,204,0,173,1369,43660,2019
"Somerset, KY Micro Area",25301,18177,76,18101,14098,2762,14008,3280,2145,405,0,1336,5788,43700,2019
"Somerset, PA Micro Area",29644,21369,207,21162,14896,3037,16342,5430,1831,559,64,850,7425,43740,2019
"Sonora, CA Micro Area",22502,18638,187,18451,14106,1874,13893,3277,3145,712,68,550,3314,43760,2019
"South Bend-Mishawaka, IN-MI Metro Area",122891,96884,636,96248,71685,12489,78416,21741,8701,1432,263,4833,21174,43780,2019
"Spartanburg, SC Metro Area",116645,92673,369,92304,76188,13746,74558,14187,7782,813,167,3383,20589,43900,2019
"Spearfish, SD Micro Area",11048,9439,42,9397,7553,1076,7716,1615,791,130,0,266,1343,43940,2019
"Spencer, IA Micro Area",7212,5886,24,5862,4649,754,4823,1056,418,93,31,222,1104,43980,2019
"Spirit Lake, IA Micro Area",8174,6774,28,6746,5367,869,5441,1150,685,107,5,263,1137,44020,2019
"Spokane-Spokane Valley, WA Metro Area",220365,190615,1099,189516,157243,21700,154219,26874,15937,3061,562,5438,24312,44060,2019
"Springfield, IL Metro Area",88899,71764,268,71496,58754,8916,57818,11002,7491,635,181,4421,12714,44100,2019
"Springfield, MA Metro Area",268830,219511,1174,218337,156561,22546,189980,56598,7381,1506,513,9549,39770,44140,2019
"Springfield, MO Metro Area",188342,145488,730,144758,117219,27793,104833,22643,17053,2798,364,10586,32268,44180,2019
"Springfield, OH Metro Area",54696,45404,153,45251,36992,6581,36678,7314,3077,482,50,1276,8016,44220,2019
"Starkville, MS Micro Area",21580,16260,72,16188,13491,4057,10756,2228,1944,276,0,1306,4014,44260,2019
"State College, PA Metro Area",58201,48035,263,47772,37278,4554,41130,9317,2619,762,170,3733,6433,44300,2019
"Statesboro, GA Micro Area",27375,21291,113,21178,17996,2993,17249,2962,1449,32,0,1173,4911,44340,2019
"Staunton, VA Metro Area",49329,37232,220,37012,28595,6728,27513,7407,2684,654,80,1860,10237,44420,2019
"Steamboat Springs, CO Micro Area",9603,8845,18,8827,7253,946,7210,1214,731,219,19,125,633,44460,2019
"Stephenville, TX Micro Area",13595,11034,51,10983,9139,1839,7959,1524,1568,228,16,709,1852,44500,2019
"Sterling, CO Micro Area",8393,7040,14,7026,5489,1019,5312,1248,819,165,72,296,1057,44540,2019
"Sterling, IL Micro Area",23084,18520,111,18409,14725,2904,13989,3008,1733,414,43,580,3984,44580,2019
"Stevens Point, WI Micro Area",28675,24614,116,24498,19598,3119,20251,4328,1629,298,30,565,3496,44620,2019
"Stillwater, OK Micro Area",30788,24791,95,24696,20255,4335,17821,3107,3200,675,147,1729,4268,44660,2019
"Stockton, CA Metro Area",228567,190449,1019,189430,157843,27557,152793,28007,17288,1972,185,5325,32793,44700,2019
"Storm Lake, IA Micro Area",7524,6362,38,6324,5098,1599,4130,973,909,135,27,159,1003,44740,2019
"Sturgis, MI Micro Area",24150,18883,188,18695,14237,3710,13509,3621,1682,492,48,626,4641,44780,2019
"Sulphur Springs, TX Micro Area",13424,10647,84,10563,8948,3740,5483,1145,1524,358,11,633,2144,44860,2019
"Summerville, GA Micro Area",9260,6466,16,6450,4561,1487,4606,1654,512,171,9,218,2576,44900,2019
"Sumter, SC Metro Area",54937,40860,281,40579,30149,5499,33402,9188,2977,562,29,2166,11911,44940,2019
"Sunbury, PA Micro Area",39075,28825,342,28483,21069,3925,23013,6619,1632,375,63,844,9406,44980,2019
"Susanville, CA Micro Area",9280,7394,80,7314,3810,1372,5428,3231,760,217,24,181,1705,45000,2019
"Sweetwater, TX Micro Area",5407,3946,8,3938,3183,677,2631,572,767,106,25,204,1257,45020,2019
"Syracuse, NY Metro Area",257280,209636,954,208682,156777,19698,183460,48439,8755,1551,244,10764,36880,45060,2019
"Tahlequah, OK Micro Area",16665,11597,47,11550,9601,3572,6315,1242,1916,521,42,706,4362,45140,2019
"Talladega-Sylacauga, AL Micro Area",31395,23122,49,23073,18796,5114,15671,3437,3031,591,55,1072,7201,45180,2019
"Tallahassee, FL Metro Area",147777,123852,440,123412,100375,13628,106057,20956,6935,898,133,4578,19347,45220,2019
"Tampa-St. Petersburg-Clearwater, FL Metro Area",1213267,1033144,3093,1030051,823262,99420,909507,194162,40749,4220,952,36891,143232,45300,2019
"Taos, NM Micro Area",12103,8264,177,8087,4611,702,6214,2662,1142,428,63,348,3491,45340,2019
"Taylorville, IL Micro Area",13901,10890,144,10746,6544,1255,8799,3848,962,207,15,362,2649,45380,2019
"Terre Haute, IN Metro Area",72902,57234,298,56936,44203,9803,42607,10730,5879,1124,307,1927,13741,45460,2019
"Texarkana, TX-AR Metro Area",55865,40744,329,40415,31271,8216,29990,7439,6977,666,6,1774,13347,45500,2019
"The Dalles, OR Micro Area",10305,8151,56,8095,5933,971,6213,1722,1092,256,34,518,1636,45520,2019
"The Villages, FL Metro Area",56230,48694,323,48371,36111,4333,42106,10835,4368,441,74,1456,6080,45540,2019
"Thomaston, GA Micro Area",10154,7035,20,7015,5394,781,5964,1437,535,52,0,446,2673,45580,2019
"Thomasville, GA Micro Area",17595,13950,44,13906,11386,1894,11322,2223,909,165,12,453,3192,45620,2019
"Tiffin, OH Micro Area",21648,17227,128,17099,12941,2096,13675,3701,1671,290,40,874,3547,45660,2019
"Tifton, GA Micro Area",15144,9888,94,9794,7042,2651,6585,2455,657,151,30,263,4993,45700,2019
"Toccoa, GA Micro Area",9543,6637,38,6599,5125,1225,4921,1119,928,112,0,443,2463,45740,2019
"Toledo, OH Metro Area",265076,218919,1079,217840,175891,27334,180315,37269,15886,2294,567,9605,36552,45780,2019
"Topeka, KS Metro Area",94658,70950,402,70548,54617,10793,53760,13327,7632,1609,282,6305,17403,45820,2019
