metro_area,total_workers,car_truck_or_van,drove_alone,carpooled,public_transportation,bus,long_distance_train_or_commuter_rail,light_rail_streetcar_or_trolley,ferryboat,taxicab,motorcycle,bicycle,walked,other_means,worked_from_home,other_aggregate,worked_from_home_extended,metro_area_id,year
"Brookings, OR Micro Area",7332,6167,5415,752,598,55,99,15,4,11,0,0,0,49,254,82,765,15060,2019
"Brookings, SD Micro Area",19098,16882,14985,1897,1416,334,147,37,37,0,0,0,0,160,912,88,1019,15100,2019
"Brownsville, TN Micro Area",7244,6918,6375,543,491,33,19,0,0,0,0,0,0,14,82,121,109,15140,2019
"Brownsville-Harlingen, TX Metro Area",159411,148141,135021,13120,9366,2259,1495,1126,1126,0,0,0,0,260,2264,1921,5699,15180,2019
"Brownwood, TX Micro Area",16155,15056,13629,1427,1135,223,69,41,41,0,0,0,0,71,283,97,607,15220,2019
"Brunswick, GA Metro Area",51048,47286,42253,5033,3743,798,492,264,217,47,0,0,0,132,704,710,1952,15260,2019
"Bucyrus-Galion, OH Micro Area",18508,17438,15928,1510,1326,82,102,54,41,0,13,0,0,41,335,282,358,15340,2019
"Buffalo-Cheektowaga, NY Metro Area",540720,486118,446133,39985,32446,4438,3101,17555,16207,1000,162,133,53,2272,13569,4633,16573,15380,2019
"Burley, ID Micro Area",19343,17947,15769,2178,1685,375,118,37,37,0,0,0,0,34,462,62,801,15420,2019
"Burlington, IA-IL Micro Area",21935,19895,18251,1644,1274,261,109,89,71,5,13,0,0,65,641,438,807,15460,2019
"Burlington, NC Metro Area",76425,72204,65546,6658,5039,769,850,139,139,0,0,0,0,66,1112,403,2501,15500,2019
"Burlington-South Burlington, VT Metro Area",118966,99194,88977,10217,8132,1356,729,2655,2542,75,15,23,0,1870,7784,922,6541,15540,2019
"Butte-Silver Bow, MT Micro Area",15733,14385,12858,1527,1105,149,273,148,132,0,0,0,16,22,590,218,370,15580,2019
"Cadillac, MI Micro Area",19967,18093,15718,2375,1799,406,170,72,67,0,0,0,5,140,598,171,893,15620,2019
"Calhoun, GA Micro Area",25787,23615,20681,2934,1980,509,445,189,189,0,0,0,0,97,210,467,1209,15660,2019
"California-Lexington Park, MD Metro Area",56117,51305,46206,5099,3818,697,584,945,852,63,30,0,0,177,1096,489,2105,15680,2019
"Cambridge, MD Micro Area",14461,13171,11283,1888,1555,196,137,112,85,18,9,0,0,111,393,121,553,15700,2019
"Cambridge, OH Micro Area",16442,15244,14087,1157,871,123,163,47,47,0,0,0,0,17,386,376,372,15740,2019
"Camden, AR Micro Area",11466,10944,10045,899,613,182,104,5,5,0,0,0,0,11,185,118,203,15780,2019
"Campbellsville, KY Micro Area",15231,14157,12458,1699,1413,231,55,37,37,0,0,0,0,0,376,86,575,15820,2019
"Cañon City, CO Micro Area",14189,12861,11428,1433,1178,130,125,24,8,0,0,0,16,18,272,96,918,15860,2019
"Canton-Massillon, OH Metro Area",187112,172461,158613,13848,10761,1681,1406,2181,2145,10,0,10,16,238,3124,1328,7780,15940,2019
"Cape Coral-Fort Myers, FL Metro Area",303259,270483,239614,30869,22403,4157,4309,2030,1890,20,34,53,33,1958,3543,6127,19118,15980,2019
"Cheyenne, WY Metro Area",48514,44662,39524,5138,4232,548,358,256,243,0,0,13,0,170,868,491,2067,16940,2019
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4665317,3624761,3265642,359119,274750,51038,33331,566109,205859,204026,151986,3775,463,32072,140722,59036,242617,16980,2019
"Cape Girardeau, MO-IL Metro Area",44118,40453,35484,4969,3873,715,381,228,199,0,29,0,0,70,1093,583,1691,16020,2019
"Carbondale-Marion, IL Metro Area",56505,51070,46321,4749,3779,705,265,517,492,0,25,0,0,427,1863,476,2152,16060,2019
"Carlsbad-Artesia, NM Micro Area",26308,25288,22965,2323,1538,391,394,203,203,0,0,0,0,12,192,185,428,16100,2019
"Carroll, IA Micro Area",10461,9449,8644,805,616,121,68,5,5,0,0,0,0,53,207,97,650,16140,2019
"Carson City, NV Metro Area",25172,23150,20138,3012,2426,332,254,200,200,0,0,0,0,150,508,328,836,16180,2019
"Casper, WY Metro Area",40704,37854,34437,3417,2337,719,361,232,232,0,0,0,0,115,570,317,1616,16220,2019
"Cedar City, UT Micro Area",22364,19875,17001,2874,2304,289,281,18,18,0,0,0,0,22,727,288,1434,16260,2019
"Cedar Rapids, IA Metro Area",140061,129071,118588,10483,8212,1391,880,757,741,0,9,0,7,464,2846,1005,5918,16300,2019
"Cedartown, GA Micro Area",17873,16677,14894,1783,992,398,393,51,23,0,0,0,28,29,307,204,605,16340,2019
"Celina, OH Micro Area",20755,19814,18308,1506,1114,237,155,80,70,0,10,0,0,27,332,71,431,16380,2019
"Central City, KY Micro Area",11521,11188,10093,1095,852,133,110,12,12,0,0,0,0,0,85,161,75,16420,2019
"Centralia, IL Micro Area",15848,15030,13564,1466,1178,222,66,28,21,0,7,0,0,18,345,55,372,16460,2019
"Centralia, WA Micro Area",30855,28188,24517,3671,2775,299,597,106,53,27,12,0,14,50,966,213,1332,16500,2019
"Chambersburg-Waynesboro, PA Metro Area",72840,67076,59970,7106,5295,746,1065,185,180,0,5,0,0,54,1616,754,3155,16540,2019
"Champaign-Urbana, IL Metro Area",109677,87769,79042,8727,6391,1408,928,5818,5746,42,19,11,0,2387,8215,1107,4381,16580,2019
"Charleston, WV Metro Area",104068,94735,86255,8480,6769,1114,597,1766,1759,0,0,0,7,78,2867,916,3706,16620,2019
"Charleston-Mattoon, IL Micro Area",29767,26571,23374,3197,2543,496,158,172,141,0,25,0,6,165,1346,153,1360,16660,2019
"Charleston-North Charleston, SC Metro Area",381932,340838,309577,31261,24089,4863,2309,3018,2809,47,16,41,105,2550,8803,4592,22131,16700,2019
"Charlotte-Concord-Gastonia, NC-SC Metro Area",1249383,1116339,1004542,111797,85153,15759,10885,19448,14200,2283,1011,1825,129,1257,17006,12956,82377,16740,2019
"Charlottesville, VA Metro Area",106240,86916,76639,10277,8548,1106,623,3333,3218,53,45,0,17,1017,4907,1374,8693,16820,2019
"Chattanooga, TN-GA Metro Area",254994,233295,210218,23077,18794,2667,1616,1994,1937,4,15,30,8,484,4254,1916,13051,16860,2019
"Chico, CA Metro Area",93125,80739,70701,10038,7162,1734,1142,1105,1002,76,9,18,0,2218,2821,997,5245,17020,2019
"Chillicothe, OH Micro Area",30609,29010,25932,3078,2487,412,179,256,256,0,0,0,0,22,390,150,781,17060,2019
