metro_area,total_workers,car_truck_or_van,drove_alone,carpooled,public_transportation,bus,long_distance_train_or_commuter_rail,light_rail_streetcar_or_trolley,ferryboat,taxicab,motorcycle,bicycle,walked,other_means,worked_from_home,other_aggregate,worked_from_home_extended,metro_area_id,year
"Stockton, CA Metro Area",303147,277817,238729,39088,27163,6897,5028,5055,2106,762,2033,154,0,1228,4164,2455,12428,44700,2019
"Storm Lake, IA Micro Area",10176,8650,7196,1454,1159,203,92,32,19,0,0,13,0,156,760,63,515,44740,2019
"Sturgis, MI Micro Area",27394,24979,20621,4358,3494,462,402,167,106,42,19,0,0,149,932,173,994,44780,2019
"Sulphur Springs, TX Micro Area",16125,15267,13694,1573,1092,351,130,46,44,0,2,0,0,30,121,84,577,44860,2019
"Summerville, GA Micro Area",8827,8465,7543,922,636,154,132,21,21,0,0,0,0,26,143,30,142,44900,2019
"Sumter, SC Metro Area",56653,53224,47563,5661,4200,643,818,153,152,0,0,0,1,147,1109,574,1446,44940,2019
"Sunbury, PA Micro Area",40846,37750,34053,3697,3000,422,275,80,79,0,1,0,0,81,1088,316,1531,44980,2019
"Susanville, CA Micro Area",8340,7552,6713,839,582,86,171,26,24,0,2,0,0,19,206,8,529,45000,2019
"Sweetwater, TX Micro Area",6159,5793,4924,869,493,166,210,0,0,0,0,0,0,0,144,125,97,45020,2019
"Syracuse, NY Metro Area",305311,269413,245154,24259,20195,2558,1506,6906,6769,90,9,38,0,917,11712,2779,13584,45060,2019
"Tahlequah, OK Micro Area",19404,17762,15498,2264,1443,482,339,46,46,0,0,0,0,53,548,167,828,45140,2019
"Talladega-Sylacauga, AL Micro Area",30439,28542,25405,3137,1903,863,371,70,70,0,0,0,0,32,571,458,766,45180,2019
"Tallahassee, FL Metro Area",178756,161538,145036,16502,13155,2299,1048,2596,2500,0,0,0,96,1035,3631,2240,7716,45220,2019
"Tampa-St. Petersburg-Clearwater, FL Metro Area",1419997,1244458,1120016,124442,96432,16048,11962,18206,17774,177,126,19,110,9155,20116,22507,105555,45300,2019
"Taos, NM Micro Area",13553,10961,9078,1883,1606,106,171,262,262,0,0,0,0,65,492,163,1610,45340,2019
"Taylorville, IL Micro Area",14508,13453,11913,1540,1242,158,140,76,76,0,0,0,0,30,363,88,498,45380,2019
"Terre Haute, IN Metro Area",81066,74837,66467,8370,6632,945,793,481,408,46,2,0,25,304,2447,725,2272,45460,2019
"Texarkana, TX-AR Metro Area",58890,55821,51357,4464,3560,487,417,252,252,0,0,0,0,52,571,682,1512,45500,2019
"The Dalles, OR Micro Area",11471,9896,8749,1147,931,95,121,29,29,0,0,0,0,52,517,116,861,45520,2019
"The Villages, FL Metro Area",24569,19811,18431,1380,1015,243,122,39,31,0,0,0,8,16,251,1744,2708,45540,2019
"Thomaston, GA Micro Area",10063,9723,8892,831,673,56,102,0,0,0,0,0,0,0,35,198,107,45580,2019
"Thomasville, GA Micro Area",19068,18140,15224,2916,1975,650,291,39,39,0,0,0,0,97,215,126,451,45620,2019
"Tiffin, OH Micro Area",26039,23822,21724,2098,1621,325,152,107,100,7,0,0,0,78,1091,382,559,45660,2019
"Tifton, GA Micro Area",18231,17444,15409,2035,1250,314,471,52,52,0,0,0,0,75,218,161,281,45700,2019
"Toccoa, GA Micro Area",10371,9606,8696,910,770,57,83,0,0,0,0,0,0,0,213,78,474,45740,2019
"Toledo, OH Metro Area",302645,278829,256204,22625,17929,2706,1990,3784,3683,22,0,20,59,936,7514,2766,8816,45780,2019
"Topeka, KS Metro Area",110625,102722,91264,11458,8680,1860,918,1005,989,0,0,0,16,134,1910,877,3977,45820,2019
"Torrington, CT Micro Area",95123,84820,79132,5688,4181,643,864,1345,353,398,534,60,0,157,2324,1114,5363,45860,2019
"Traverse City, MI Micro Area",71056,63198,56372,6826,5416,1013,397,760,721,5,6,0,28,460,1580,625,4433,45900,2019
"Trenton-Princeton, NJ Metro Area",176016,143642,124442,19200,13739,3027,2434,13357,3703,505,8953,196,0,720,7616,1782,8899,45940,2019
"Troy, AL Micro Area",13900,13127,11878,1249,1113,64,72,38,38,0,0,0,0,20,235,179,301,45980,2019
"Truckee-Grass Valley, CA Micro Area",42907,34464,31190,3274,2531,481,262,151,151,0,0,0,0,318,1199,922,5853,46020,2019
"Tucson, AZ Metro Area",442389,384105,339953,44152,32225,7236,4691,10109,9677,40,46,335,11,6583,10013,7515,24064,46060,2019
"Tullahoma-Manchester, TN Micro Area",45167,42247,38366,3881,3003,438,440,24,6,0,18,0,0,51,911,153,1781,46100,2019
"Tulsa, OK Metro Area",459388,424732,380533,44199,34707,5658,3834,2168,2054,10,44,20,40,888,5738,6781,19081,46140,2019
"Tupelo, MS Micro Area",70735,68005,61687,6318,4672,1060,586,41,41,0,0,0,0,25,435,798,1431,46180,2019
"Tuscaloosa, AL Metro Area",106708,100618,90994,9624,7648,1277,699,531,493,22,9,7,0,257,1159,516,3627,46220,2019
"Twin Falls, ID Metro Area",50265,45956,41005,4951,3925,820,206,158,141,0,17,0,0,123,1152,464,2412,46300,2019
"Tyler, TX Metro Area",100354,92652,83605,9047,6084,2008,955,360,360,0,0,0,0,450,915,1151,4826,46340,2019
