metro_area,total,in_labor_force,civilian_labor_force,civilian_employed,civilian_unemployed,armed_forces,not_in_labor_force,metro_area_id,year
"Jasper, AL Micro Area",51506,26672,26643,24414,2229,29,24834,27530,2019
"Jasper, IN Micro Area",42982,28895,28849,28179,670,46,14087,27540,2019
"Jayuya, PR Micro Area",11739,3790,3790,3219,571,0,7949,27580,2019
"Jefferson, GA Micro Area",52409,32506,32406,31077,1329,100,19903,27600,2019
"Jefferson City, MO Metro Area",121118,74479,74392,71856,2536,87,46639,27620,2019
"Jennings, LA Micro Area",24322,13385,13377,12292,1085,8,10937,27660,2019
"Jesup, GA Micro Area",23254,11650,11634,10919,715,16,11604,27700,2019
"Johnson City, TN Metro Area",168454,95355,95297,90865,4432,58,73099,27740,2019
"Johnstown, PA Metro Area",110409,60598,60453,56957,3496,145,49811,27780,2019
"Jonesboro, AR Metro Area",102423,63565,63460,59563,3897,105,38858,27860,2019
"Joplin, MO Metro Area",139030,87409,87333,83109,4224,76,51621,27900,2019
"Juneau, AK Micro Area",26030,18351,17950,17132,818,401,7679,27940,2019
"Kahului-Wailuku-Lahaina, HI Metro Area",132991,88797,88430,84899,3531,367,44194,27980,2019
"Aberdeen, SD Micro Area",33971,23429,23396,22863,533,33,10542,10100,2019
"Aberdeen, WA Micro Area",59488,30619,30481,28323,2158,138,28869,10140,2019
"Abilene, TX Metro Area",134483,81030,76909,74286,2623,4121,53453,10180,2019
"Ada, OK Micro Area",30333,18271,18271,17464,807,0,12062,10220,2019
"Adrian, MI Micro Area",80011,46924,46849,44628,2221,75,33087,10300,2019
"Aguadilla-Isabela, PR Metro Area",251282,98427,98244,80162,18082,183,152855,10380,2019
"Akron, OH Metro Area",577303,371313,370940,350827,20113,373,205990,10420,2019
"Alamogordo, NM Micro Area",52420,28036,25251,23336,1915,2785,24384,10460,2019
"Albany, GA Metro Area",116434,68003,67679,60479,7200,324,48431,10500,2019
"Albany-Lebanon, OR Metro Area",100165,58793,58741,54874,3867,52,41372,10540,2019
"Albany-Schenectady-Troy, NY Metro Area",729087,473775,471444,449539,21905,2331,255312,10580,2019
"Albemarle, NC Micro Area",49762,30540,30499,28750,1749,41,19222,10620,2019
"Albert Lea, MN Micro Area",24510,15688,15683,15095,588,5,8822,10660,2019
"Albertville, AL Micro Area",74429,40975,40942,39193,1749,33,33454,10700,2019
"Albuquerque, NM Metro Area",731662,446536,443250,416555,26695,3286,285126,10740,2019
"Alexander City, AL Micro Area",42181,21130,21101,19321,1780,29,21051,10760,2019
"Alexandria, LA Metro Area",120647,66594,65978,61888,4090,616,54053,10780,2019
"Alexandria, MN Micro Area",30306,19895,19890,19398,492,5,10411,10820,2019
"Alice, TX Micro Area",39328,21676,21676,20330,1346,0,17652,10860,2019
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",682523,438377,438085,414129,23956,292,244146,10900,2019
"Alma, MI Micro Area",33788,17352,17352,16358,994,0,16436,10940,2019
"Alpena, MI Micro Area",23864,13506,13474,12665,809,32,10358,10980,2019
"Altoona, PA Metro Area",101131,59393,59341,56808,2533,52,41738,11020,2019
"Altus, OK Micro Area",19243,12323,11124,10561,563,1199,6920,11060,2019
"Amarillo, TX Metro Area",202980,131417,131206,126758,4448,211,71563,11100,2019
"Americus, GA Micro Area",27980,15410,15394,14058,1336,16,12570,11140,2019
"Ames, IA Metro Area",104189,68481,68337,65517,2820,144,35708,11180,2019
"Amsterdam, NY Micro Area",39377,23203,23177,21636,1541,26,16174,11220,2019
"Anchorage, AK Metro Area",309140,214094,205099,191803,13296,8995,95046,11260,2019
"Andrews, TX Micro Area",13071,8484,8484,8167,317,0,4587,11380,2019
"Angola, IN Micro Area",28187,18170,18170,17584,586,0,10017,11420,2019
"Ann Arbor, MI Metro Area",306370,198008,197867,189559,8308,141,108362,11460,2019
"Anniston-Oxford, AL Metro Area",92886,52674,52106,47896,4210,568,40212,11500,2019
"Appleton, WI Metro Area",186084,131519,131463,127990,3473,56,54565,11540,2019
"Arcadia, FL Micro Area",30529,14250,14250,13571,679,0,16279,11580,2019
"Ardmore, OK Micro Area",45328,26578,26578,25180,1398,0,18750,11620,2019
"Arecibo, PR Metro Area",151236,59302,59119,51319,7800,183,91934,11640,2019
"Arkadelphia, AR Micro Area",18643,10799,10790,10575,215,9,7844,11660,2019
"Asheville, NC Metro Area",379153,224403,224089,216756,7333,314,154750,11700,2019
"Ashland, OH Micro Area",42900,26529,26498,25570,928,31,16371,11740,2019
"Ashtabula, OH Micro Area",78853,43452,43452,40462,2990,0,35401,11780,2019
"Astoria, OR Micro Area",32445,19279,18754,17762,992,525,13166,11820,2019
"Atchison, KS Micro Area",12806,8019,8016,7792,224,3,4787,11860,2019
"Athens, OH Micro Area",57409,30355,30305,28134,2171,50,27054,11900,2019
"Athens, TN Micro Area",43216,22723,22701,21334,1367,22,20493,11940,2019
"Athens, TX Micro Area",65945,33945,33914,32219,1695,31,32000,11980,2019
"Baton Rouge, LA Metro Area",675904,426679,426014,400021,25993,665,249225,12940,2019
"Battle Creek, MI Metro Area",107038,64143,64065,60032,4033,78,42895,12980,2019
"Athens-Clarke County, GA Metro Area",170958,104917,104815,99468,5347,102,66041,12020,2019
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",4584199,3079053,3074809,2915977,158832,4244,1505146,12060,2019
"Atlantic City-Hammonton, NJ Metro Area",215890,139427,139120,127399,11721,307,76463,12100,2019
"Atmore, AL Micro Area",29780,14365,14365,12786,1579,0,15415,12120,2019
"Auburn, IN Micro Area",33693,22333,22333,21541,792,0,11360,12140,2019
"Auburn, NY Micro Area",64074,38351,38305,36570,1735,46,25723,12180,2019
"Auburn-Opelika, AL Metro Area",130253,79457,78849,74770,4079,608,50796,12220,2019
"Augusta-Richmond County, GA-SC Metro Area",476186,282901,272902,253787,19115,9999,193285,12260,2019
"Augusta-Waterville, ME Micro Area",101057,62283,62150,59678,2472,133,38774,12300,2019
"Austin, MN Micro Area",30950,19992,19992,19254,738,0,10958,12380,2019
"Austin-Round Rock-Georgetown, TX Metro Area",1674911,1182941,1181539,1132080,49459,1402,491970,12420,2019
"Bainbridge, GA Micro Area",20862,11086,10883,10317,566,203,9776,12460,2019
"Bakersfield, CA Metro Area",656416,382901,380904,343445,37459,1997,273515,12540,2019
"Baltimore-Columbia-Towson, MD Metro Area",2250483,1505265,1485980,1410244,75736,19285,745218,12580,2019
"Bangor, ME Metro Area",127529,77077,76790,72962,3828,287,50452,12620,2019
"Baraboo, WI Micro Area",51048,35175,35155,34130,1025,20,15873,12660,2019
"Bardstown, KY Micro Area",35888,22729,22680,21654,1026,49,13159,12680,2019
"Barnstable Town, MA Metro Area",185337,110854,110233,105715,4518,621,74483,12700,2019
"Barre, VT Micro Area",48602,32205,32149,31131,1018,56,16397,12740,2019
"Bartlesville, OK Micro Area",40813,23517,23502,22277,1225,15,17296,12780,2019
"Batavia, NY Micro Area",47515,30851,30844,29570,1274,7,16664,12860,2019
"Batesville, AR Micro Area",43352,22918,22918,21859,1059,0,20434,12900,2019
"Bay City, MI Metro Area",85481,50274,50255,47048,3207,19,35207,13020,2019
"Bay City, TX Micro Area",28456,16676,16564,15607,957,112,11780,13060,2019
"Beatrice, NE Micro Area",17230,11445,11445,11059,386,0,5785,13100,2019
"Beaumont-Port Arthur, TX Metro Area",309685,176377,176166,167842,8324,211,133308,13140,2019
"Beaver Dam, WI Micro Area",71794,47190,47179,45274,1905,11,24604,13180,2019
"Beckley, WV Metro Area",96983,47811,47756,43968,3788,55,49172,13220,2019
"Bedford, IN Micro Area",36790,21891,21872,20914,958,19,14899,13260,2019
"Beeville, TX Micro Area",26560,10905,10905,10038,867,0,15655,13300,2019
"Bellefontaine, OH Micro Area",36144,22711,22695,21676,1019,16,13433,13340,2019
"Bellingham, WA Metro Area",182461,113814,113632,107180,6452,182,68647,13380,2019
"Bemidji, MN Micro Area",35787,22726,22707,21064,1643,19,13061,13420,2019
"Bend, OR Metro Area",152562,96326,96288,91092,5196,38,56236,13460,2019
"Bennettsville, SC Micro Area",22006,10464,10407,9161,1246,57,11542,13500,2019
"Bennington, VT Micro Area",29649,18023,18023,17366,657,0,11626,13540,2019
"Berlin, NH Micro Area",27228,15245,15190,14358,832,55,11983,13620,2019
"Big Rapids, MI Micro Area",36233,19980,19980,18616,1364,0,16253,13660,2019
"Big Spring, TX Micro Area",29189,15417,15378,14303,1075,39,13772,13700,2019
"Oshkosh-Neenah, WI Metro Area",139430,90796,90771,87992,2779,25,48634,36780,2019
"Oskaloosa, IA Micro Area",17477,11499,11496,11050,446,3,5978,36820,2019
"Othello, WA Micro Area",13390,8270,8270,7719,551,0,5120,36830,2019
"Ottawa, IL Micro Area",120784,74980,74916,70799,4117,64,45804,36837,2019
"Ottawa, KS Micro Area",20200,13248,13226,12732,494,22,6952,36840,2019
"Ottumwa, IA Micro Area",27993,17397,17397,16377,1020,0,10596,36900,2019
"Owatonna, MN Micro Area",28430,19655,19650,18914,736,5,8775,36940,2019
"Owensboro, KY Metro Area",92366,56443,56389,53427,2962,54,35923,36980,2019
"Oak Harbor, WA Micro Area",69518,40214,34355,32421,1934,5859,29304,36020,2019
"Ocala, FL Metro Area",295412,137479,137318,125900,11418,161,157933,36100,2019
"Ocean City, NJ Metro Area",78754,45904,44891,41841,3050,1013,32850,36140,2019
"Odessa, TX Metro Area",116949,79868,79806,74960,4846,62,37081,36220,2019
"Ogden-Clearfield, UT Metro Area",479299,328262,325592,315169,10423,2670,151037,36260,2019
"Ogdensburg-Massena, NY Micro Area",89297,47317,47227,43722,3505,90,41980,36300,2019
"Oil City, PA Micro Area",43055,24335,24325,22682,1643,10,18720,36340,2019
"Okeechobee, FL Micro Area",33433,16418,16406,15304,1102,12,17015,36380,2019
"Oklahoma City, OK Metro Area",1077695,702177,696064,666130,29934,6113,375518,36420,2019
"Olean, NY Micro Area",61926,35692,35659,33684,1975,33,26234,36460,2019
"Olympia-Lacey-Tumwater, WA Metro Area",226692,141687,137582,128801,8781,4105,85005,36500,2019
"Omaha-Council Bluffs, NE-IA Metro Area",718050,507307,502319,484137,18182,4988,210743,36540,2019
"Oxford, MS Micro Area",44747,26522,26515,24997,1518,7,18225,37060,2019
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",673573,441661,438092,415752,22340,3569,231912,37100,2019
"Ozark, AL Micro Area",39177,22104,19554,17994,1560,2550,17073,37120,2019
"Paducah, KY-IL Micro Area",77798,43722,43669,41797,1872,53,34076,37140,2019
"Pahrump, NV Micro Area",37674,16151,16151,14619,1532,0,21523,37220,2019
"Palatka, FL Micro Area",59191,28344,28332,25868,2464,12,30847,37260,2019
"Palestine, TX Micro Area",47967,19868,19854,19213,641,14,28099,37300,2019
"Palm Bay-Melbourne-Titusville, FL Metro Area",491256,267746,266313,252483,13830,1433,223510,37340,2019
"Pampa, TX Micro Area",17861,9918,9907,9373,534,11,7943,37420,2019
"Panama City, FL Metro Area",147605,90550,87174,82767,4407,3376,57055,37460,2019
"Paragould, AR Micro Area",35266,20313,20311,18761,1550,2,14953,37500,2019
"Paris, TN Micro Area",26428,13320,13248,12623,625,72,13108,37540,2019
"Paris, TX Micro Area",39106,22606,22593,21502,1091,13,16500,37580,2019
"Parkersburg-Vienna, WV Metro Area",73882,39955,39865,38022,1843,90,33927,37620,2019
"Parsons, KS Micro Area",15855,9844,9844,9518,326,0,6011,37660,2019
"Payson, AZ Micro Area",43850,20525,20496,18695,1801,29,23325,37740,2019
"Pearsall, TX Micro Area",15767,7112,7112,6634,478,0,8655,37770,2019
"Pecos, TX Micro Area",12557,6529,6529,5946,583,0,6028,37780,2019
"Pella, IA Micro Area",26321,17293,17293,16911,382,0,9028,37800,2019
"Pensacola-Ferry Pass-Brent, FL Metro Area",395554,237961,225395,212077,13318,12566,157593,37860,2019
"Peoria, IL Metro Area",323357,198019,197750,186107,11643,269,125338,37900,2019
"Peru, IN Micro Area",29110,16153,16088,15293,795,65,12957,37940,2019
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",4904034,3202220,3194645,3000622,194023,7575,1701814,37980,2019
"Phoenix-Mesa-Chandler, AZ Metro Area",3746344,2353146,2347666,2226016,121650,5480,1393198,38060,2019
"Picayune, MS Micro Area",44257,23674,23674,21710,1964,0,20583,38100,2019
"Pierre, SD Micro Area",16290,11389,11369,11073,296,20,4901,38180,2019
"Pine Bluff, AR Metro Area",73866,35306,35290,32409,2881,16,38560,38220,2019
"Pinehurst-Southern Pines, NC Micro Area",78722,45527,42903,40851,2052,2624,33195,38240,2019
"Pittsburg, KS Micro Area",31401,19518,19487,18488,999,31,11883,38260,2019
"Pittsburgh, PA Metro Area",1940717,1220508,1219415,1160844,58571,1093,720209,38300,2019
"Pittsfield, MA Metro Area",107763,67243,67214,64008,3206,29,40520,38340,2019
"Plainview, TX Micro Area",25606,15073,15073,14355,718,0,10533,38380,2019
"Platteville, WI Micro Area",42220,26854,26847,26132,715,7,15366,38420,2019
"Plattsburgh, NY Micro Area",67584,37438,37406,35759,1647,32,30146,38460,2019
"Plymouth, IN Micro Area",36024,22190,22178,21088,1090,12,13834,38500,2019
"Pocatello, ID Metro Area",71249,43418,43341,40897,2444,77,27831,38540,2019
"Point Pleasant, WV-OH Micro Area",45815,23201,23189,22267,922,12,22614,38580,2019
"Ponca City, OK Micro Area",34615,20183,20170,18828,1342,13,14432,38620,2019
"Ponce, PR Metro Area",185843,75895,75815,62658,13157,80,109948,38660,2019
"Pontiac, IL Micro Area",29369,16835,16835,15981,854,0,12534,38700,2019
"Poplar Bluff, MO Micro Area",44722,24458,24440,22631,1809,18,20264,38740,2019
"Portales, NM Micro Area",14778,8912,8651,7901,750,261,5866,38780,2019
"Port Angeles, WA Micro Area",63886,31419,31059,28673,2386,360,32467,38820,2019
"Portland-South Portland, ME Metro Area",443829,300742,299591,289619,9972,1151,143087,38860,2019
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",1975134,1321327,1319898,1257931,61967,1429,653807,38900,2019
"Port Lavaca, TX Micro Area",16968,10188,10188,9625,563,0,6780,38920,2019
"Port St. Lucie, FL Metro Area",393431,209850,209230,198176,11054,620,183581,38940,2019
"Portsmouth, OH Micro Area",61448,30350,30331,28010,2321,19,31098,39020,2019
"Pottsville, PA Micro Area",117828,66499,66410,62570,3840,89,51329,39060,2019
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",539544,341683,338046,322466,15580,3637,197861,39100,2019
"Prescott Valley-Prescott, AZ Metro Area",194627,93458,93401,88037,5364,57,101169,39150,2019
"Price, UT Micro Area",15615,9339,9331,8679,652,8,6276,39220,2019
"Prineville, OR Micro Area",19119,9858,9858,9177,681,0,9261,39260,2019
"Providence-Warwick, RI-MA Metro Area",1334990,868893,865108,818548,46560,3785,466097,39300,2019
"Provo-Orem, UT Metro Area",429998,297235,296708,285964,10744,527,132763,39340,2019
"Pueblo, CO Metro Area",132663,74374,74120,68559,5561,254,58289,39380,2019
"Pullman, WA Micro Area",42565,25104,25037,23003,2034,67,17461,39420,2019
"Punta Gorda, FL Metro Area",161698,66219,66178,62286,3892,41,95479,39460,2019
"Quincy, IL-MO Micro Area",60806,38678,38678,37049,1629,0,22128,39500,2019
"Racine, WI Metro Area",155456,99105,99022,94772,4250,83,56351,39540,2019
"Raleigh-Cary, NC Metro Area",1045072,722090,721043,690682,30361,1047,322982,39580,2019
"Rapid City, SD Metro Area",109342,73317,71414,68616,2798,1903,36025,39660,2019
"Raymondville, TX Micro Area",16862,8863,8863,7639,1224,0,7999,39700,2019
"Reading, PA Metro Area",335068,218745,218529,205648,12881,216,116323,39740,2019
"Red Bluff, CA Micro Area",50521,26996,26951,24633,2318,45,23525,39780,2019
"Redding, CA Metro Area",144796,78436,78414,74134,4280,22,66360,39820,2019
"Red Wing, MN Micro Area",37144,25087,25078,24227,851,9,12057,39860,2019
"Reno, NV Metro Area",371777,246699,246232,233221,13011,467,125078,39900,2019
"Rexburg, ID Micro Area",39647,25395,25391,23749,1642,4,14252,39940,2019
"Richmond, IN Micro Area",53448,31771,31755,30108,1647,16,21677,39980,2019
"Rockford, IL Metro Area",267283,172063,171968,158497,13471,95,95220,40420,2019
"Rockingham, NC Micro Area",35986,19748,19455,17762,1693,293,16238,40460,2019
"Rockport, TX Micro Area",20564,10606,10606,9814,792,0,9958,40530,2019
"Rock Springs, WY Micro Area",33137,22887,22881,21487,1394,6,10250,40540,2019
"Rocky Mount, NC Metro Area",117935,69834,69816,64885,4931,18,48101,40580,2019
"Rolla, MO Micro Area",36387,20209,20153,19115,1038,56,16178,40620,2019
"Rome, GA Metro Area",77072,44216,44108,41723,2385,108,32856,40660,2019
"Roseburg, OR Micro Area",90820,46432,46369,43291,3078,63,44388,40700,2019
"Roswell, NM Micro Area",50128,28429,28338,26889,1449,91,21699,40740,2019
"Ruidoso, NM Micro Area",16401,7938,7915,7565,350,23,8463,40760,2019
"Russellville, AR Micro Area",67693,38101,38075,35857,2218,26,29592,40780,2019
"Ruston, LA Micro Area",38969,21903,21801,20796,1005,102,17066,40820,2019
"Rutland, VT Micro Area",49787,30872,30827,29858,969,45,18915,40860,2019
"Sacramento-Roseville-Folsom, CA Metro Area",1842661,1137887,1135454,1066944,68510,2433,704774,40900,2019
"Safford, AZ Micro Area",28895,14292,14292,13104,1188,0,14603,40940,2019
"Saginaw, MI Metro Area",155785,88961,88927,82783,6144,34,66824,40980,2019
"Richmond, VA Metro Area",1025999,679904,675240,641274,33966,4664,346095,40060,2019
"Richmond-Berea, KY Micro Area",85333,50777,50727,47514,3213,50,34556,40080,2019
"Rio Grande City-Roma, TX Micro Area",45233,25831,25831,22056,3775,0,19402,40100,2019
"Riverside-San Bernardino-Ontario, CA Metro Area",3513245,2122092,2106490,1947248,159242,15602,1391153,40140,2019
"Riverton, WY Micro Area",30841,19444,19436,18294,1142,8,11397,40180,2019
"Roanoke, VA Metro Area",256454,156345,156112,149052,7060,233,100109,40220,2019
"Roanoke Rapids, NC Micro Area",58267,28741,28732,26644,2088,9,29526,40260,2019
"Rochelle, IL Micro Area",40885,26581,26578,25032,1546,3,14304,40300,2019
"Rochester, MN Metro Area",170446,120219,120164,116529,3635,55,50227,40340,2019
"Rochester, NY Metro Area",876652,554758,554463,526130,28333,295,321894,40380,2019
"St. Cloud, MN Metro Area",156773,112630,112509,107628,4881,121,44143,41060,2019
"St. George, UT Metro Area",126752,71464,71421,68915,2506,43,55288,41100,2019
"St. Joseph, MO-KS Metro Area",101910,60566,60446,57985,2461,120,41344,41140,2019
"St. Louis, MO-IL Metro Area",2251860,1475077,1469943,1397108,72835,5134,776783,41180,2019
"St. Marys, GA Micro Area",41684,27104,23135,21519,1616,3969,14580,41220,2019
"St. Marys, PA Micro Area",25121,16096,16096,15374,722,0,9025,41260,2019
"Salem, OH Micro Area",84499,48595,48579,45391,3188,16,35904,41400,2019
"Salem, OR Metro Area",331127,202882,202640,191127,11513,242,128245,41420,2019
"Salina, KS Micro Area",48025,31637,31502,30495,1007,135,16388,41460,2019
"Salinas, CA Metro Area",331873,202743,197404,187708,9696,5339,129130,41500,2019
"Salisbury, MD-DE Metro Area",335029,192275,191903,181308,10595,372,142754,41540,2019
"Salt Lake City, UT Metro Area",903711,645330,644406,621198,23208,924,258381,41620,2019
"San Angelo, TX Metro Area",94856,61187,58065,55776,2289,3122,33669,41660,2019
"San Antonio-New Braunfels, TX Metro Area",1912022,1222517,1203743,1142172,61571,18774,689505,41700,2019
"San Diego-Chula Vista-Carlsbad, CA Metro Area",2671935,1764675,1690177,1588732,101445,74498,907260,41740,2019
"Sandpoint, ID Micro Area",36036,18948,18946,18299,647,2,17088,41760,2019
"Sandusky, OH Micro Area",61552,37868,37858,35976,1882,10,23684,41780,2019
"Sanford, NC Micro Area",47170,28992,28650,26643,2007,342,18178,41820,2019
"San Francisco-Oakland-Berkeley, CA Metro Area",3869242,2610816,2608110,2490810,117300,2706,1258426,41860,2019
"San Germán, PR Metro Area",105168,37198,37198,31706,5492,0,67970,41900,2019
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1592951,1076062,1075239,1028441,46798,823,516889,41940,2019
"San Juan-Bayamón-Caguas, PR Metro Area",1747280,837260,836047,703136,132911,1213,910020,41980,2019
"Sayre, PA Micro Area",49125,28153,28146,26863,1283,7,20972,42380,2019
"Scottsbluff, NE Micro Area",29593,19149,19133,18201,932,16,10444,42420,2019
"Scottsboro, AL Micro Area",42222,21460,21453,20352,1101,7,20762,42460,2019
"Scottsburg, IN Micro Area",19074,10700,10671,10135,536,29,8374,42500,2019
"Scranton--Wilkes-Barre, PA Metro Area",458120,278799,278627,264037,14590,172,179321,42540,2019
"Searcy, AR Micro Area",62498,34272,34170,32213,1957,102,28226,42620,2019
"Seattle-Tacoma-Bellevue, WA Metro Area",3125212,2141529,2119175,2025947,93228,22354,983683,42660,2019
"Sebastian-Vero Beach, FL Metro Area",131686,62799,62704,58626,4078,95,68887,42680,2019
"Sebring-Avon Park, FL Metro Area",87692,37078,37078,33555,3523,0,50614,42700,2019
"Sedalia, MO Micro Area",33037,19987,19871,18681,1190,116,13050,42740,2019
"Selinsgrove, PA Micro Area",33042,20700,20679,20143,536,21,12342,42780,2019
"Selma, AL Micro Area",30693,16142,16129,14347,1782,13,14551,42820,2019
"Seneca, SC Micro Area",63576,34019,33978,32106,1872,41,29557,42860,2019
"Seneca Falls, NY Micro Area",28371,15852,15852,15280,572,0,12519,42900,2019
"Sevierville, TN Micro Area",79633,49402,49258,46934,2324,144,30231,42940,2019
"Seymour, IN Micro Area",34443,21633,21633,20694,939,0,12810,42980,2019
"San Luis Obispo-Paso Robles, CA Metro Area",237717,139024,137209,131679,5530,1815,98693,42020,2019
"Santa Cruz-Watsonville, CA Metro Area",226982,144847,144670,136406,8264,177,82135,42100,2019
"Santa Fe, NM Metro Area",125470,73448,73379,70383,2996,69,52022,42140,2019
"Santa Isabel, PR Micro Area",17658,8602,8602,7994,608,0,9056,42180,2019
"Santa Maria-Santa Barbara, CA Metro Area",356516,228476,226585,213438,13147,1891,128040,42200,2019
"Santa Rosa-Petaluma, CA Metro Area",412267,268613,267732,256074,11658,881,143654,42220,2019
"Sault Ste. Marie, MI Micro Area",31624,17152,17043,15523,1520,109,14472,42300,2019
"Savannah, GA Metro Area",306450,201968,197250,183673,13577,4718,104482,42340,2019
"Shawano, WI Micro Area",36411,22303,22298,21534,764,5,14108,43020,2019
"Shawnee, OK Micro Area",57119,32170,32111,30187,1924,59,24949,43060,2019
"Sheboygan, WI Metro Area",92536,61559,61520,59602,1918,39,30977,43100,2019
"Shelby, NC Micro Area",78747,43841,43807,40163,3644,34,34906,43140,2019
"Shelbyville, TN Micro Area",37316,23017,23004,22010,994,13,14299,43180,2019
"Shelton, WA Micro Area",52889,27054,26852,24994,1858,202,25835,43220,2019
"Sheridan, WY Micro Area",24474,15690,15671,15193,478,19,8784,43260,2019
"Sherman-Denison, TX Metro Area",103292,63998,63897,60989,2908,101,39294,43300,2019
"Show Low, AZ Micro Area",82886,38298,38265,33415,4850,33,44588,43320,2019
"Shreveport-Bossier City, LA Metro Area",313314,185231,179544,167976,11568,5687,128083,43340,2019
"Sidney, OH Micro Area",37941,26229,26207,25031,1176,22,11712,43380,2019
"Sierra Vista-Douglas, AZ Metro Area",101327,50158,46720,43760,2960,3438,51169,43420,2019
"Sikeston, MO Micro Area",30405,17600,17517,16745,772,83,12805,43460,2019
"Silver City, NM Micro Area",22639,10896,10874,10098,776,22,11743,43500,2019
"Sioux City, IA-NE-SD Metro Area",109901,76215,76073,73091,2982,142,33686,43580,2019
"Sioux Falls, SD Metro Area",198628,147658,147298,143370,3928,360,50970,43620,2019
"Snyder, TX Micro Area",13222,7169,7169,6880,289,0,6053,43660,2019
"Somerset, KY Micro Area",51641,27835,27835,25852,1983,0,23806,43700,2019
"Somerset, PA Micro Area",62428,33975,33964,32230,1734,11,28453,43740,2019
"Sonora, CA Micro Area",45972,22150,22149,20993,1156,1,23822,43760,2019
"South Bend-Mishawaka, IN-MI Metro Area",255483,160551,160353,152613,7740,198,94932,43780,2019
"Spartanburg, SC Metro Area",244240,150248,150183,141860,8323,65,93992,43900,2019
"Spearfish, SD Micro Area",21501,13904,13844,13484,360,60,7597,43940,2019
"Spencer, IA Micro Area",12959,8467,8467,8111,356,0,4492,43980,2019
"Spirit Lake, IA Micro Area",14285,9387,9387,9204,183,0,4898,44020,2019
"Spokane-Spokane Valley, WA Metro Area",441705,267182,264296,249447,14849,2886,174523,44060,2019
"Springfield, IL Metro Area",167782,106676,106493,100351,6142,183,61106,44100,2019
"Springfield, MA Metro Area",579090,359391,358815,338550,20265,576,219699,44140,2019
"Springfield, MO Metro Area",369733,225246,224921,216369,8552,325,144487,44180,2019
"Springfield, OH Metro Area",108131,65406,65321,60958,4363,85,42725,44220,2019
"Starkville, MS Micro Area",49544,26703,26690,24601,2089,13,22841,44260,2019
"State College, PA Metro Area",140544,80524,80466,77182,3284,58,60020,44300,2019
"Statesboro, GA Micro Area",62429,37345,37285,34290,2995,60,25084,44340,2019
"Staunton, VA Metro Area",100163,60038,59864,57604,2260,174,40125,44420,2019
"Steamboat Springs, CO Micro Area",21075,14975,14927,14464,463,48,6100,44460,2019
"Stephenville, TX Micro Area",34093,20819,20819,20076,743,0,13274,44500,2019
"Sterling, CO Micro Area",18279,11653,11653,11271,382,0,6626,44540,2019
"Sterling, IL Micro Area",45125,27520,27499,26264,1235,21,17605,44580,2019
"Stevens Point, WI Micro Area",58435,39139,39097,37794,1303,42,19296,44620,2019
"Stillwater, OK Micro Area",67604,38656,38488,36902,1586,168,28948,44660,2019
"Stockton, CA Metro Area",562701,339798,339463,313129,26334,335,222903,44700,2019
"Storm Lake, IA Micro Area",15540,10896,10896,10343,553,0,4644,44740,2019
"Sturgis, MI Micro Area",47612,29477,29462,28156,1306,15,18135,44780,2019
"Sulphur Springs, TX Micro Area",28455,17168,17128,16402,726,40,11287,44860,2019
"Summerville, GA Micro Area",19853,9643,9641,9098,543,2,10210,44900,2019
"Sumter, SC Metro Area",112320,63927,61085,55074,6011,2842,48393,44940,2019
"Sunbury, PA Micro Area",75909,43706,43670,41607,2063,36,32203,44980,2019
"Susanville, CA Micro Area",26650,9249,9209,8611,598,40,17401,45000,2019
"Sweetwater, TX Micro Area",11487,6739,6739,6279,460,0,4748,45020,2019
"Syracuse, NY Metro Area",531375,328983,328230,310414,17816,753,202392,45060,2019
"Tahlequah, OK Micro Area",39073,21339,21290,19665,1625,49,17734,45140,2019
"Talladega-Sylacauga, AL Micro Area",65202,34100,34059,31166,2893,41,31102,45180,2019
"Tallahassee, FL Metro Area",317118,196263,195966,182170,13796,297,120855,45220,2019
"Tampa-St. Petersburg-Clearwater, FL Metro Area",2550190,1527285,1520342,1436245,84097,6943,1022905,45300,2019
"Taos, NM Micro Area",27558,15190,15187,13868,1319,3,12368,45340,2019
"Taylorville, IL Micro Area",26863,15210,15201,14704,497,9,11653,45380,2019
"Terre Haute, IN Metro Area",152141,88302,88136,82619,5517,166,63839,45460,2019
"Texarkana, TX-AR Metro Area",118366,63859,63815,59715,4100,44,54507,45500,2019
"The Dalles, OR Micro Area",20877,12383,12372,11819,553,11,8494,45520,2019
"The Villages, FL Metro Area",117026,26297,26240,25261,979,57,90729,45540,2019
"Thomaston, GA Micro Area",20923,10900,10900,10270,630,0,10023,45580,2019
"Thomasville, GA Micro Area",35127,21142,21056,19498,1558,86,13985,45620,2019
"Tiffin, OH Micro Area",44654,28011,28011,26789,1222,0,16643,45660,2019
"Tifton, GA Micro Area",31385,18944,18933,18424,509,11,12441,45700,2019
"Toccoa, GA Micro Area",20850,11455,11455,10507,948,0,9395,45740,2019
