date_id,full_date,day,day_name,day_of_week,week_of_year,month,month_name,quarter,year,decade,is_weekend,is_leap_year,is_year_start,period_label
118,2019-04-28,28,Sunday,7,17,4,April,Q2,2019,2010s,true,false,false,Pre-Pandemic
119,2019-04-29,29,Monday,1,18,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
120,2019-04-30,30,Tuesday,2,18,4,April,Q2,2019,2010s,false,false,false,Pre-Pandemic
121,2019-05-01,1,Wednesday,3,18,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
122,2019-05-02,2,Thursday,4,18,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
123,2019-05-03,3,Friday,5,18,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
124,2019-05-04,4,Saturday,6,18,5,May,Q2,2019,2010s,true,false,false,Pre-Pandemic
125,2019-05-05,5,Sunday,7,18,5,May,Q2,2019,2010s,true,false,false,Pre-Pandemic
126,2019-05-06,6,Monday,1,19,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
127,2019-05-07,7,Tuesday,2,19,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
128,2019-05-08,8,Wednesday,3,19,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
129,2019-05-09,9,Thursday,4,19,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
130,2019-05-10,10,Friday,5,19,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
131,2019-05-11,11,Saturday,6,19,5,May,Q2,2019,2010s,true,false,false,Pre-Pandemic
132,2019-05-12,12,Sunday,7,19,5,May,Q2,2019,2010s,true,false,false,Pre-Pandemic
133,2019-05-13,13,Monday,1,20,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
134,2019-05-14,14,Tuesday,2,20,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
135,2019-05-15,15,Wednesday,3,20,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
136,2019-05-16,16,Thursday,4,20,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
137,2019-05-17,17,Friday,5,20,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
138,2019-05-18,18,Saturday,6,20,5,May,Q2,2019,2010s,true,false,false,Pre-Pandemic
139,2019-05-19,19,Sunday,7,20,5,May,Q2,2019,2010s,true,false,false,Pre-Pandemic
140,2019-05-20,20,Monday,1,21,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
141,2019-05-21,21,Tuesday,2,21,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
142,2019-05-22,22,Wednesday,3,21,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
143,2019-05-23,23,Thursday,4,21,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
144,2019-05-24,24,Friday,5,21,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
145,2019-05-25,25,Saturday,6,21,5,May,Q2,2019,2010s,true,false,false,Pre-Pandemic
146,2019-05-26,26,Sunday,7,21,5,May,Q2,2019,2010s,true,false,false,Pre-Pandemic
147,2019-05-27,27,Monday,1,22,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
148,2019-05-28,28,Tuesday,2,22,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
149,2019-05-29,29,Wednesday,3,22,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
150,2019-05-30,30,Thursday,4,22,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
151,2019-05-31,31,Friday,5,22,5,May,Q2,2019,2010s,false,false,false,Pre-Pandemic
152,2019-06-01,1,Saturday,6,22,6,June,Q2,2019,2010s,true,false,false,Pre-Pandemic
153,2019-06-02,2,Sunday,7,22,6,June,Q2,2019,2010s,true,false,false,Pre-Pandemic
154,2019-06-03,3,Monday,1,23,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
155,2019-06-04,4,Tuesday,2,23,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
156,2019-06-05,5,Wednesday,3,23,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
157,2019-06-06,6,Thursday,4,23,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
158,2019-06-07,7,Friday,5,23,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
159,2019-06-08,8,Saturday,6,23,6,June,Q2,2019,2010s,true,false,false,Pre-Pandemic
160,2019-06-09,9,Sunday,7,23,6,June,Q2,2019,2010s,true,false,false,Pre-Pandemic
161,2019-06-10,10,Monday,1,24,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
162,2019-06-11,11,Tuesday,2,24,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
163,2019-06-12,12,Wednesday,3,24,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
164,2019-06-13,13,Thursday,4,24,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
165,2019-06-14,14,Friday,5,24,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
166,2019-06-15,15,Saturday,6,24,6,June,Q2,2019,2010s,true,false,false,Pre-Pandemic
167,2019-06-16,16,Sunday,7,24,6,June,Q2,2019,2010s,true,false,false,Pre-Pandemic
168,2019-06-17,17,Monday,1,25,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
169,2019-06-18,18,Tuesday,2,25,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
170,2019-06-19,19,Wednesday,3,25,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
171,2019-06-20,20,Thursday,4,25,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
172,2019-06-21,21,Friday,5,25,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
173,2019-06-22,22,Saturday,6,25,6,June,Q2,2019,2010s,true,false,false,Pre-Pandemic
174,2019-06-23,23,Sunday,7,25,6,June,Q2,2019,2010s,true,false,false,Pre-Pandemic
175,2019-06-24,24,Monday,1,26,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
176,2019-06-25,25,Tuesday,2,26,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
177,2019-06-26,26,Wednesday,3,26,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
178,2019-06-27,27,Thursday,4,26,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
179,2019-06-28,28,Friday,5,26,6,June,Q2,2019,2010s,false,false,false,Pre-Pandemic
180,2019-06-29,29,Saturday,6,26,6,June,Q2,2019,2010s,true,false,false,Pre-Pandemic
181,2019-06-30,30,Sunday,7,26,6,June,Q2,2019,2010s,true,false,false,Pre-Pandemic
182,2019-07-01,1,Monday,1,27,7,July,Q3,2019,2010s,false,false,false,Pre-Pandemic
183,2019-07-02,2,Tuesday,2,27,7,July,Q3,2019,2010s,false,false,false,Pre-Pandemic
